Postcode,Locality,State,Longitude,Latitude,SA3,SA3 Name,SA4,SA4 Name,Region
3030,DERRIMUT,VIC,144.64209,-37.91624,21305.0,Wyndham,213.0,Melbourne - West,R1
3030,POINT COOK,VIC,144.64209,-37.91624,21305.0,Wyndham,213.0,Melbourne - West,R1
3030,QUANDONG,VIC,144.64209,-37.91624,21305.0,Wyndham,213.0,Melbourne - West,R1
3030,WERRIBEE,VIC,144.64209,-37.91624,21305.0,Wyndham,213.0,Melbourne - West,R1
3030,WERRIBEE SOUTH,VIC,144.64209,-37.91624,21305.0,Wyndham,213.0,Melbourne - West,R1
3031,FLEMINGTON,VIC,144.923403,-37.79119,20604.0,Melbourne City,206.0,Melbourne - Inner,R1
3031,KENSINGTON,VIC,144.923403,-37.79119,20604.0,Melbourne City,206.0,Melbourne - Inner,R1
3032,ASCOT VALE,VIC,144.897221,-37.774485999999996,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3032,HIGHPOINT CITY,VIC,144.897221,-37.774485999999996,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3032,MARIBYRNONG,VIC,144.897221,-37.774485999999996,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3032,TRAVANCORE,VIC,144.897221,-37.774485999999996,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3033,KEILOR EAST,VIC,144.85763799999998,-37.74107,21301.0,Brimbank,213.0,Melbourne - West,R1
3034,AVONDALE HEIGHTS,VIC,144.86194,-37.761235,21001.0,Keilor,210.0,Melbourne - North West,R1
3036,KEILOR,VIC,144.82246,-37.705324,21301.0,Brimbank,213.0,Melbourne - West,R1
3036,KEILOR NORTH,VIC,144.82246,-37.705324,21301.0,Brimbank,213.0,Melbourne - West,R1
3037,DELAHEY,VIC,144.780474,-37.715579,21304.0,Melton - Bacchus Marsh,213.0,Melbourne - West,R1
3037,HILLSIDE,VIC,144.780474,-37.715579,21304.0,Melton - Bacchus Marsh,213.0,Melbourne - West,R1
3037,SYDENHAM,VIC,144.780474,-37.715579,21304.0,Melton - Bacchus Marsh,213.0,Melbourne - West,R1
3037,TAYLORS HILL,VIC,144.780474,-37.715579,21304.0,Melton - Bacchus Marsh,213.0,Melbourne - West,R1
3038,KEILOR DOWNS,VIC,144.766873,-37.700454,21301.0,Brimbank,213.0,Melbourne - West,R1
3038,KEILOR LODGE,VIC,144.766873,-37.700454,21301.0,Brimbank,213.0,Melbourne - West,R1
3038,TAYLORS LAKES,VIC,144.766873,-37.700454,21301.0,Brimbank,213.0,Melbourne - West,R1
3038,WATERGARDENS,VIC,144.766873,-37.700454,21301.0,Brimbank,213.0,Melbourne - West,R1
3039,MOONEE PONDS,VIC,144.922995,-37.766184,20603.0,Essendon,206.0,Melbourne - Inner,R1
3040,ABERFELDIE,VIC,144.902556,-37.751845,21001.0,Keilor,210.0,Melbourne - North West,R1
3040,ESSENDON,VIC,144.902556,-37.751845,21001.0,Keilor,210.0,Melbourne - North West,R1
3040,ESSENDON WEST,VIC,144.902556,-37.751845,21001.0,Keilor,210.0,Melbourne - North West,R1
3041,ESSENDON FIELDS,VIC,144.9011039,-37.72674618,21003.0,Moreland - North,210.0,Melbourne - North West,R1
3041,ESSENDON NORTH,VIC,144.90481499999999,-37.731464,21003.0,Moreland - North,210.0,Melbourne - North West,R1
3041,STRATHMORE,VIC,144.90481499999999,-37.731464,21003.0,Moreland - North,210.0,Melbourne - North West,R1
3041,STRATHMORE HEIGHTS,VIC,144.90481499999999,-37.731464,21003.0,Moreland - North,210.0,Melbourne - North West,R1
